label,bbox_width_norm,bbox_height_norm,bbox_area_norm,split
coach,0.09271523178807947,0.029166666666666667,0.0027041942604856513,train
bankofamerica,0.4875,0.5296296296296297,0.25819444444444445,train
corona,0.1162109375,0.17214043035107587,0.020004600792751983,train
corona,0.10546875,0.144960362400906,0.015288788221970556,train
corona,0.1142578125,0.11891279728199321,0.01358671609569649,train
corona,0.3837890625,0.28312570781426954,0.10866054997168743,train
corona,0.1142578125,0.11325028312570781,0.012939729614949037,train
lacoste_text,0.6405594405594406,0.4272667971298108,0.2736897805390956,train
target,0.0609375,0.14722222222222223,0.008971354166666667,train
target_text,0.3421875,0.25833333333333336,0.08839843750000001,train
heineken_text,0.048286604361370715,0.026785714285714284,0.0012933911882510012,test
heineken_text,0.037383177570093455,0.020833333333333332,0.0007788161993769469,test
heineken_text,0.0264797507788162,0.047619047619047616,0.0012609405132769618,test
heineken_text,0.01557632398753894,0.16071428571428573,0.0025033377837116156,test
heineken_text,0.14018691588785046,0.1636904761904762,0.022947263017356473,test
heineken_text,0.08722741433021806,0.13095238095238096,0.01142263759086189,test
heineken_text,0.012461059190031152,0.09821428571428571,0.0012238540275923452,test
cisco,0.07511737089201878,0.084375,0.006338028169014085,train
bridgestone_text,0.1475,0.09433962264150944,0.013915094339622642,train
ups,0.10352941176470588,0.201171875,0.020827205882352942,train
carlsberg,0.06031746031746032,0.18253968253968253,0.011010330057949104,train
carlsberg,0.10264550264550265,0.31613756613756616,0.032450099381316315,train
ups,0.10546875,0.17057291666666666,0.0179901123046875,test
chimay,0.466796875,0.4609375,0.2151641845703125,train
mcdonalds,0.03125,0.09380863039399624,0.0029315196998123826,train
mcdonalds_text,0.38875,0.06941838649155722,0.02698639774859287,train
mcdonalds_text,0.03375,0.03377110694183865,0.0011397748592870546,train
ups,0.0498046875,0.09544787077826726,0.004753751376651983,train
ups,0.03515625,0.08370044052863436,0.0029425936123348016,train
stellaartois,0.078125,0.15885416666666666,0.012410481770833332,train
ups,0.0810546875,0.15226939970717424,0.0123421486090776,train
milka,0.2333984375,0.20442708333333334,0.047712961832682296,train
milka,0.1650390625,0.14322916666666666,0.023638407389322914,train
milka,0.171875,0.10677083333333333,0.018351236979166664,train
milka,0.1845703125,0.11848958333333333,0.021869659423828125,train
ups,0.115234375,0.20575539568345325,0.023710094424460433,train
ups,0.0888671875,0.15827338129496402,0.01406531025179856,train
ups,0.0732421875,0.13093525179856116,0.009589984262589928,train
ford,0.1767578125,0.08758169934640522,0.015480749591503267,train
heraldsun,0.8928571428571429,0.14534883720930233,0.12977574750830567,train
milka,0.119140625,0.10918544194107452,0.01300842179376083,train
milka,0.0966796875,0.08838821490467938,0.008545344995667245,train
milka,0.083984375,0.060658578856152515,0.005094372833622184,train
dunkindonuts,0.030208333333333334,0.025833333333333333,0.0007803819444444444,train
porsche,0.01905717151454363,0.036243822075782535,0.0006907047336407906,train
porsche,0.00802407221664995,0.018121911037891267,0.00014541152287174538,train
porsche_text,0.2136409227683049,0.042833607907743,0.009151011518905976,train
hyundai,0.0234375,0.0390625,0.00091552734375,train
hyundai,0.010416666666666666,0.0146484375,0.000152587890625,train
hyundai,0.008333333333333333,0.0126953125,0.00010579427083333334,train
